Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Teltow-Flaeming;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;77.3;NA;2009
Teltow-Flaeming;Getreide;Roggen;NA;51.5;NA;2009
Teltow-Flaeming;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2009
Teltow-Flaeming;Getreide;Sommergerste;NA;49.4;NA;2009
Teltow-Flaeming;Getreide;Triticale;NA;52.8;NA;2009
Teltow-Flaeming;Getreide;Weizen zusammen;NA;71.5;NA;2009
Teltow-Flaeming;Getreide;Wintergerste;NA;61.3;NA;2009
Teltow-Flaeming;Getreide;Winterweizen einschl. Dinkel;NA;71.9;NA;2009
Teltow-Flaeming;Hackfruechte;Kartoffeln zusammen;NA;391.4;NA;2009
Teltow-Flaeming;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;391.4;NA;2009
Teltow-Flaeming;Hackfruechte;Zuckerrueben;NA;NA;NA;2009
Teltow-Flaeming;Huelsenfruechte;Erbsen;NA;37;NA;2009
Teltow-Flaeming;Huelsenfruechte;Lupinen;NA;25. Jul;NA;2009
Teltow-Flaeming;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2009
Teltow-Flaeming;Oelfruechte;Sonnenblumen;NA;21. Sep;NA;2009
Teltow-Flaeming;Oelfruechte;Winterraps;NA;37.4;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;36.9;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;30. Aug;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;76.2;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;372.4;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;50.6;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;51.7;NA;2009
Uckermark;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;50.9;NA;2009
Uckermark;Getreide;Brotgetreide zusammen;NA;76.2;NA;2009
Uckermark;Getreide;Futter- und Industriegetreide;NA;65.6;NA;2009
Uckermark;Getreide;Gerste zusammen;NA;70.8;NA;2009
Uckermark;Getreide;Getreide insgesamt;NA;73.3;NA;2009
Uckermark;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2009
Uckermark;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;73.2;NA;2009
Uckermark;Getreide;Hafer;NA;38.9;NA;2009
Uckermark;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;78.5;NA;2009
Uckermark;Getreide;Roggen;NA;63.6;NA;2009
Uckermark;Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2009
Uckermark;Getreide;Sommergerste;NA;23. Sep;NA;2009
Uckermark;Getreide;Triticale;NA;48.8;NA;2009
Uckermark;Getreide;Weizen zusammen;NA;79.5;NA;2009
Uckermark;Getreide;Wintergerste;NA;72.5;NA;2009
Uckermark;Getreide;Winterweizen einschl. Dinkel;NA;79.9;NA;2009
Uckermark;Hackfruechte;Kartoffeln zusammen;NA;281.3;NA;2009
Uckermark;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;281;NA;2009
Uckermark;Hackfruechte;Zuckerrueben;NA;632.1;NA;2009
Uckermark;Huelsenfruechte;Erbsen;NA;11. Feb;NA;2009
Uckermark;Huelsenfruechte;Lupinen;NA;13. Mai;NA;2009
Uckermark;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2009
Uckermark;Oelfruechte;Sonnenblumen;NA;23. Apr;NA;2009
Uckermark;Oelfruechte;Winterraps;NA;46.9;NA;2009
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;3237;51.3;16613;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;2054;37;7591;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;4145;248.2;102905;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;5547;49.9;27683;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;2155;34.4;7412;2010
Barnim;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Barnim;Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Barnim;Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Barnim;Getreide;Gerste zusammen;3771;51.5;19422;2010
Barnim;Getreide;Getreide insgesamt;20626;45.6;93953;2010
Barnim;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Barnim;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);19672;44.4;87374;2010
Barnim;Getreide;Hafer;848;35.8;3034;2010
Barnim;Getreide;Koernermais (einschl. Corn-Cob-Mix);953;69;6579;2010
Barnim;Getreide;Roggen;NA;NA;NA;2010
Barnim;Getreide;Roggen und Wintermenggetreide;6937;38.8;26935;2010
Barnim;Getreide;Sommergerste;301;26. Mrz;792;2010
Barnim;Getreide;Triticale;3165;44.4;14063;2010
Barnim;Getreide;Weizen zusammen;4932;48.5;23902;2010
Barnim;Getreide;Wintergerste;3470;53.7;18630;2010
Barnim;Getreide;Winterweizen einschl. Dinkel;4727;48.8;23056;2010
Barnim;Hackfruechte;Kartoffeln zusammen;59;NA;NA;2010
Barnim;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Barnim;Hackfruechte;Zuckerrueben;NA;NA;NA;2010
Barnim;Huelsenfruechte;Erbsen;NA;26. Apr;NA;2010
Barnim;Huelsenfruechte;Lupinen;567;11;624;2010
Barnim;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Barnim;Oelfruechte;Sonnenblumen;720;23. Sep;1724;2010
Barnim;Oelfruechte;Winterraps;5191;34;17635;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Gerste zusammen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Getreide insgesamt;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Hafer;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Roggen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Sommergerste;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Triticale;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Weizen zusammen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Wintergerste;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Getreide;Winterweizen einschl. Dinkel;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Oelfruechte;Sonnenblumen;NA;NA;NA;2010
Brandenburg an der Havel (KfS);Oelfruechte;Winterraps;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;NA;NA;2010
Cottbus (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Cottbus (KfS);Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Cottbus (KfS);Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Cottbus (KfS);Getreide;Gerste zusammen;NA;NA;NA;2010
Cottbus (KfS);Getreide;Getreide insgesamt;NA;NA;NA;2010
Cottbus (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Cottbus (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;NA;NA;2010
Cottbus (KfS);Getreide;Hafer;NA;NA;NA;2010
Cottbus (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2010
Cottbus (KfS);Getreide;Roggen;NA;NA;NA;2010
Cottbus (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2010
Cottbus (KfS);Getreide;Sommergerste;NA;NA;NA;2010
Cottbus (KfS);Getreide;Triticale;NA;NA;NA;2010
Cottbus (KfS);Getreide;Weizen zusammen;NA;NA;NA;2010
Cottbus (KfS);Getreide;Wintergerste;NA;NA;NA;2010
Cottbus (KfS);Getreide;Winterweizen einschl. Dinkel;NA;NA;NA;2010
Cottbus (KfS);Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2010
Cottbus (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Cottbus (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2010
Cottbus (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2010
Cottbus (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2010
Cottbus (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Cottbus (KfS);Oelfruechte;Sonnenblumen;NA;NA;NA;2010
Cottbus (KfS);Oelfruechte;Winterraps;NA;NA;NA;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;4044;25. Jun;10356;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;2147;42.4;9113;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;6961;304.1;211714;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;15299;42;64193;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;4566;36.7;16765;2010
Dahme-Spreewald;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Dahme-Spreewald;Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Dahme-Spreewald;Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Dahme-Spreewald;Getreide;Gerste zusammen;3528;52.3;18458;2010
Dahme-Spreewald;Getreide;Getreide insgesamt;25198;34;85717;2010
Dahme-Spreewald;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Dahme-Spreewald;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);24969;33.7;84079;2010
Dahme-Spreewald;Getreide;Hafer;566;33.8;1911;2010
Dahme-Spreewald;Getreide;Koernermais (einschl. Corn-Cob-Mix);229;71.6;1638;2010
Dahme-Spreewald;Getreide;Roggen;NA;NA;NA;2010
Dahme-Spreewald;Getreide;Roggen und Wintermenggetreide;15864;27. Jan;42917;2010
Dahme-Spreewald;Getreide;Sommergerste;188;16. Aug;315;2010
Dahme-Spreewald;Getreide;Triticale;2778;34.8;9665;2010
Dahme-Spreewald;Getreide;Weizen zusammen;2189;50.6;11079;2010
Dahme-Spreewald;Getreide;Wintergerste;3340;54.3;18143;2010
Dahme-Spreewald;Getreide;Winterweizen einschl. Dinkel;2152;51.1;10993;2010
Dahme-Spreewald;Hackfruechte;Kartoffeln zusammen;527;314.9;16596;2010
Dahme-Spreewald;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Dahme-Spreewald;Hackfruechte;Zuckerrueben;NA;NA;NA;2010
Dahme-Spreewald;Huelsenfruechte;Erbsen;383;10. Sep;418;2010
Dahme-Spreewald;Huelsenfruechte;Lupinen;1094;08. Jan;882;2010
Dahme-Spreewald;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Dahme-Spreewald;Oelfruechte;Sonnenblumen;1575;15. Jul;2480;2010
Dahme-Spreewald;Oelfruechte;Winterraps;3370;33.6;11305;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;3472;63;21865;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;1155;37.6;4348;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;10475;264.7;277252;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;15031;59.8;89841;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;6428;67.4;43306;2010
Elbe-Elster;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Elbe-Elster;Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Elbe-Elster;Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Elbe-Elster;Getreide;Gerste zusammen;6905;54.1;37360;2010
Elbe-Elster;Getreide;Getreide insgesamt;36477;48.2;175760;2010
Elbe-Elster;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Elbe-Elster;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);35057;46.9;164464;2010
Elbe-Elster;Getreide;Hafer;405;36.6;1485;2010
Elbe-Elster;Getreide;Koernermais (einschl. Corn-Cob-Mix);1420;79.5;11296;2010
Elbe-Elster;Getreide;Roggen;NA;NA;NA;2010
Elbe-Elster;Getreide;Roggen und Wintermenggetreide;14542;40.9;59548;2010
Elbe-Elster;Getreide;Sommergerste;430;46.2;1988;2010
Elbe-Elster;Getreide;Triticale;6813;42.7;29112;2010
Elbe-Elster;Getreide;Weizen zusammen;6375;57.9;36941;2010
Elbe-Elster;Getreide;Wintergerste;6475;54.6;35372;2010
Elbe-Elster;Getreide;Winterweizen einschl. Dinkel;6371;58;36924;2010
Elbe-Elster;Hackfruechte;Kartoffeln zusammen;364;285.5;10400;2010
Elbe-Elster;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Elbe-Elster;Hackfruechte;Zuckerrueben;344;645.6;22205;2010
Elbe-Elster;Huelsenfruechte;Erbsen;1550;26;4036;2010
Elbe-Elster;Huelsenfruechte;Lupinen;499;13. Jul;682;2010
Elbe-Elster;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Elbe-Elster;Oelfruechte;Sonnenblumen;1879;17. Mai;3284;2010
Elbe-Elster;Oelfruechte;Winterraps;6647;33.8;22442;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Gerste zusammen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Getreide insgesamt;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Hafer;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Roggen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Roggen und Wintermenggetreide;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Sommergerste;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Triticale;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Weizen zusammen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Wintergerste;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Getreide;Winterweizen einschl. Dinkel;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Hackfruechte;Kartoffeln zusammen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Hackfruechte;Zuckerrueben;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Huelsenfruechte;Erbsen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Huelsenfruechte;Lupinen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Oelfruechte;Sonnenblumen;NA;NA;NA;2010
Frankfurt (Oder) (KfS);Oelfruechte;Winterraps;NA;NA;NA;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;2938;32;9398;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;1318;58.6;7718;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;10750;274;294588;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;22354;53.2;118989;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;6815;51.6;35155;2010
Havelland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Havelland;Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Havelland;Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Havelland;Getreide;Gerste zusammen;4513;60.6;27337;2010
Havelland;Getreide;Getreide insgesamt;31845;51.5;163931;2010
Havelland;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Havelland;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);30520;50.7;154872;2010
Havelland;Getreide;Hafer;745;31;2311;2010
Havelland;Getreide;Koernermais (einschl. Corn-Cob-Mix);1324;68.4;9059;2010
Havelland;Getreide;Roggen;NA;NA;NA;2010
Havelland;Getreide;Roggen und Wintermenggetreide;12345;45.2;55789;2010
Havelland;Getreide;Sommergerste;261;39.1;1023;2010
Havelland;Getreide;Triticale;2947;43.7;12890;2010
Havelland;Getreide;Weizen zusammen;9947;56.8;56520;2010
Havelland;Getreide;Wintergerste;4251;61.9;26314;2010
Havelland;Getreide;Winterweizen einschl. Dinkel;9815;57.1;56054;2010
Havelland;Hackfruechte;Kartoffeln zusammen;382;280;10695;2010
Havelland;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Havelland;Hackfruechte;Zuckerrueben;259;427.8;11074;2010
Havelland;Huelsenfruechte;Erbsen;NA;NA;NA;2010
Havelland;Huelsenfruechte;Lupinen;1062;12. Apr;1315;2010
Havelland;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Havelland;Oelfruechte;Sonnenblumen;NA;NA;NA;2010
Havelland;Oelfruechte;Winterraps;NA;NA;NA;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;1143;44.3;5062;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;977;70;6836;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;2004;350.5;70241;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;3273;53.8;17617;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;749;NA;NA;2010
Kreisfreie Staedte;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Kreisfreie Staedte;Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Kreisfreie Staedte;Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Kreisfreie Staedte;Getreide;Gerste zusammen;619;61.9;3832;2010
Kreisfreie Staedte;Getreide;Getreide insgesamt;6397;47.4;30292;2010
Kreisfreie Staedte;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Kreisfreie Staedte;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;46.3;NA;2010
Kreisfreie Staedte;Getreide;Hafer;265;NA;NA;2010
Kreisfreie Staedte;Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;67;NA;2010
Kreisfreie Staedte;Getreide;Roggen;NA;NA;NA;2010
Kreisfreie Staedte;Getreide;Roggen und Wintermenggetreide;3407;43.4;14780;2010
Kreisfreie Staedte;Getreide;Sommergerste;33;NA;NA;2010
Kreisfreie Staedte;Getreide;Triticale;616;47.7;2939;2010
Kreisfreie Staedte;Getreide;Weizen zusammen;1153;52.5;6061;2010
Kreisfreie Staedte;Getreide;Wintergerste;586;NA;NA;2010
Kreisfreie Staedte;Getreide;Winterweizen einschl. Dinkel;NA;55.6;NA;2010
Kreisfreie Staedte;Hackfruechte;Kartoffeln zusammen;29;NA;NA;2010
Kreisfreie Staedte;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;NA;NA;2010
Kreisfreie Staedte;Hackfruechte;Zuckerrueben;NA;NA;NA;2010
Kreisfreie Staedte;Huelsenfruechte;Erbsen;NA;05. Apr;NA;2010
Kreisfreie Staedte;Huelsenfruechte;Lupinen;NA;NA;NA;2010
Kreisfreie Staedte;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2010
Kreisfreie Staedte;Oelfruechte;Sonnenblumen;NA;NA;NA;2010
Kreisfreie Staedte;Oelfruechte;Winterraps;NA;NA;NA;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;6154;45.6;28086;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;NA;NA;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;2573;76;19549;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;NA;NA;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Silomais;12406;309.3;383743;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Weiden;4342;32.7;14198;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;2398;25. Jan;6016;2010
Maerkisch-Oderland;Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;NA;NA;2010
Maerkisch-Oderland;Getreide;Brotgetreide zusammen;NA;NA;NA;2010
Maerkisch-Oderland;Getreide;Futter- und Industriegetreide;NA;NA;NA;2010
Maerkisch-Oderland;Getreide;Gerste zusammen;7438;58.7;43696;2010
Maerkisch-Oderland;Getreide;Getreide insgesamt;66902;55.7;372662;2010
Maerkisch-Oderland;Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2010
Maerkisch-Oderland;Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);61328;53.8;330061;2010
Maerkisch-Oderland;Getreide;Hafer;876;40.7;3566;2010
Maerkisch-Oderland;Getreide;Koernermais (einschl. Corn-Cob-Mix);5573;76.4;42601;2010
